use_me,year,channel,is_data,nickName,xmlPath,xsection,weightedEvents,verifiedSumOfWeights
True,2016,muo,True,DATA_SingleMuon_B,RunII_102X_v1/2016v3/DATA_SingleMuon2016_RunB.xml,0,0,yes
True,2016,muo,True,DATA_SingleMuon_C,RunII_102X_v1/2016v3/DATA_SingleMuon2016_RunC.xml,0,0,yes
True,2016,muo,True,DATA_SingleMuon_D,RunII_102X_v1/2016v3/DATA_SingleMuon2016_RunD.xml,0,0,yes
True,2016,muo,True,DATA_SingleMuon_E,RunII_102X_v1/2016v3/DATA_SingleMuon2016_RunE.xml,0,0,yes
True,2016,muo,True,DATA_SingleMuon_F,RunII_102X_v1/2016v3/DATA_SingleMuon2016_RunF.xml,0,0,yes
True,2016,muo,True,DATA_SingleMuon_G,RunII_102X_v1/2016v3/DATA_SingleMuon2016_RunG.xml,0,0,yes
True,2016,muo,True,DATA_SingleMuon_H,RunII_102X_v1/2016v3/DATA_SingleMuon2016_RunH.xml,0,0,yes
True,2016,ele,True,DATA_SingleElectron_B,RunII_102X_v1/2016v3/DATA_SingleElectron2016_RunB.xml,0,0,yes
True,2016,ele,True,DATA_SingleElectron_C,RunII_102X_v1/2016v3/DATA_SingleElectron2016_RunC.xml,0,0,yes
True,2016,ele,True,DATA_SingleElectron_D,RunII_102X_v1/2016v3/DATA_SingleElectron2016_RunD.xml,0,0,yes
True,2016,ele,True,DATA_SingleElectron_E,RunII_102X_v1/2016v3/DATA_SingleElectron2016_RunE.xml,0,0,yes
True,2016,ele,True,DATA_SingleElectron_F,RunII_102X_v1/2016v3/DATA_SingleElectron2016_RunF.xml,0,0,yes
True,2016,ele,True,DATA_SingleElectron_G,RunII_102X_v1/2016v3/DATA_SingleElectron2016_RunG.xml,0,0,yes
True,2016,ele,True,DATA_SingleElectron_H,RunII_102X_v1/2016v3/DATA_SingleElectron2016_RunH.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_Bver1,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016B_ver1_v1.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_Bver2,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016B_ver2_v1.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_C,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016C_v1.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_D,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016D_v1.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_E,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016E_v1.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_F,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016F_v1.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_G,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016G_v1.xml,0,0,yes
True,2016,ele,True,DATA_SinglePhoton_H,RunII_102X_v2/2016v3/DATA_SinglePhoton_2016H_v1.xml,0,0,yes
True,2016,both,False,ST_tW_DR_NoFullyHadronic_T,RunII_102X_v1/2016v3/MC_ST_tW_top_NoFullyHadronicDecays_P8M1_PUMoriond17.xml,19.5741,8681495.0,yes
True,2016,both,False,ST_tW_DR_NoFullyHadronic_Tbar,RunII_102X_v1/2016v3/MC_ST_tW_antitop_NoFullyHadronicDecays_P8M1_PUMoriond17.xml,19.5741,8681541.0,yes
True,2016,both,False,ST_tW_DR_inclusiveDecays_T,RunII_102X_v1/2016v3/MC_ST_tW_top_inclusiveDecays_P8M1_PUMoriond17.xml,35.85,6833550.0,yes
True,2016,both,False,ST_tW_DR_inclusiveDecays_Tbar,RunII_102X_v1/2016v3/MC_ST_tW_antitop_inclusiveDecays_P8M1_PUMoriond17.xml,35.85,6789494.0,yes
True,2016,both,False,ST_tW_DS_NoFullyHadronic_T,RunII_102X_v1/2016v3/MC_ST_tW_top_DS_NoFullyHadronicDecays_P8M1_PUMoriond17.xml,19.5741,3001663.0,yes
True,2016,both,False,ST_tW_DS_NoFullyHadronic_Tbar,RunII_102X_v1/2016v3/MC_ST_tW_antitop_DS_NoFullyHadronicDecays_P8M1_PUMoriond17.xml,19.5741,3205591.0,yes
True,2016,both,False,ST_tChannel_T,RunII_102X_v1/2016v3/MC_ST_t-channel_top_inclusiveDecays.xml,136.02,64996300.0,yes
True,2016,both,False,ST_tChannel_Tbar,RunII_102X_v1/2016v3/MC_ST_t-channel_antitop_inclusiveDecays.xml,80.95,38619669.0,yes
True,2016,both,False,ST_sChannel_leptonDecays,RunII_102X_v1/2016v3/MC_ST_s-channel_leptonDecays.xml,3.36432,33033621.7,yes
True,2016,both,False,TTbar_Mtt0to700,RunII_102X_v1/2016v3/MC_TT_TuneCUETP8M2T4.xml,831.76,76738314.0,yes
True,2016,both,False,TTbar_Mtt700to1000,RunII_102X_v1/2016v3/MC_TT_Mtt-700to1000.xml,76.605,38436000.0,yes
True,2016,both,False,TTbar_Mtt1000toInf,RunII_102X_v1/2016v3/MC_TT_Mtt-1000toInf.xml,20.578,24569457.0,yes
True,2016,both,False,WJetsToLNu_HT70to100,RunII_102X_v1/2016v3/MC_WJetsToLNu_HT-70To100.xml,1353.,10020533.0,yes
True,2016,both,False,WJetsToLNu_HT100to200,RunII_102X_v1/2016v3/MC_WJetsToLNu_HT-100To200.xml,1346.,39449178.0,yes
True,2016,both,False,WJetsToLNu_HT200to400,RunII_102X_v1/2016v3/MC_WJetsToLNu_HT-200To400.xml,360.1,19069732.0,yes
True,2016,both,False,WJetsToLNu_HT400to600,RunII_102X_v1/2016v3/MC_WJetsToLNu_HT-400To600.xml,48.8,7759701.0,yes
True,2016,both,False,WJetsToLNu_HT600to800,RunII_102X_v1/2016v3/MC_WJetsToLNu_HT-600To800.xml,12.07,18687480.0,yes
